answer_id,system_id,query_id,repo_id,owner_repo,audit_type,expected_answer_sha256,predicted_answer,predicted_answer_sha256,correct,abstained,retrieved_source_span_id,raw_prompt_context_bytes,compact_routehint_bytes,context_or_hint_sha256,latency_ns
v52x_D_v53e_0001,D,v53e_0001,django_django,django/django,doc_code_conflict,sha256:16e7a51dc048d658cb16f1d289d1895042e01d95bd2bdf946c2b2605d7a6032b,"Evidence at README.rst:44 supports this bounded audit fact: ``docs/internals/contributing/writing-code/unit-tests.txt``, published online at",sha256:16e7a51dc048d658cb16f1d289d1895042e01d95bd2bdf946c2b2605d7a6032b,1,0,v53e_0001_span_001,512,0,sha256:94ef6af5509bdf661bbd352e9d0eb9b81169c24c80d5711f7fe8795b97812ce2,250000000
v52x_D_v53e_0002,D,v53e_0002,django_django,django/django,doc_code_conflict,sha256:cf0ae0e7e693574f6c571d5345413858012c4a2d2aae2388412f0485f03e9715,"Evidence at pyproject.toml:15 supports this bounded audit fact: {name = ""Django Software Foundation"", email = ""foundation@djangoproject.com""},",sha256:cf0ae0e7e693574f6c571d5345413858012c4a2d2aae2388412f0485f03e9715,1,0,v53e_0002_span_001,512,0,sha256:5a80ce03c9f29b90a7a117378d09a46b0c0c5b0beaa1b1c6cc99efd075b78f2b,250000000
v52x_D_v53e_0003,D,v53e_0003,django_django,django/django,doc_code_conflict,sha256:decb5a16a77cb5f02b5c527c180dddc7c128eef59202104d669845f4aecac749,"Evidence at pyproject.toml:45 supports this bounded audit fact: django-admin = ""django.core.management:execute_from_command_line""",sha256:decb5a16a77cb5f02b5c527c180dddc7c128eef59202104d669845f4aecac749,1,0,v53e_0003_span_001,512,0,sha256:0e11e287f5b0ba12f9e69cf237b85193f5bc492e6889ca2e21c7bc907429c45d,250000000
v52x_D_v53e_0004,D,v53e_0004,fastapi_fastapi,fastapi/fastapi,doc_code_conflict,sha256:ee3ca7676d02cb47de50bc465768251a24695868b9c0742884b062caa5105769,"Evidence at pyproject.toml:180 supports this bounded audit fact: ""pytest-sugar>=1.0.0"",",sha256:ee3ca7676d02cb47de50bc465768251a24695868b9c0742884b062caa5105769,1,0,v53e_0004_span_001,512,0,sha256:448a0bd150b4da8c6e0768bf84d04b3fc29f265cdd54944e6f6a54e0f7b4cd21,250000000
v52x_D_v53e_0005,D,v53e_0005,fastapi_fastapi,fastapi/fastapi,doc_code_conflict,sha256:09837b608dbefb7cd3f2e193d5b4f9863f26c49611128193bf9dac0b4e4422ac,Evidence at pyproject.toml:261 supports this bounded audit fact: [tool.coverage.html],sha256:09837b608dbefb7cd3f2e193d5b4f9863f26c49611128193bf9dac0b4e4422ac,1,0,v53e_0005_span_001,512,0,sha256:ef7cea103ce0669aaee83dc21c87b5644cb486efbe37838c8cbb919c349a5898,250000000
v52x_D_v53e_0006,D,v53e_0006,pallets_click,pallets/click,doc_code_conflict,sha256:b806660d8fc0a3bdf30567539c3bf93f506f51189184c0af20db230271af8ae2,Evidence at README.md:8 supports this bounded audit fact: sensible defaults out of the box.,sha256:b806660d8fc0a3bdf30567539c3bf93f506f51189184c0af20db230271af8ae2,1,0,v53e_0006_span_001,512,0,sha256:deda46f477b1941b37954170d634172dacb66f41a8cfa09c229bfdfb1eaee912,250000000
v52x_D_v53e_0007,D,v53e_0007,pallets_flask,pallets/flask,doc_code_conflict,sha256:3e8d5e6dce4ee53ad2c7234c4cb9f4d6579d67b5f34005a796141fa31e7657a6,Evidence at README.md:16 supports this bounded audit fact: [WSGI]: https://wsgi.readthedocs.io/,sha256:3e8d5e6dce4ee53ad2c7234c4cb9f4d6579d67b5f34005a796141fa31e7657a6,1,0,v53e_0007_span_001,512,0,sha256:d4fce7fe42bafcfee80465249321bab19bcab888724e938aa9263c1a2ee0b73c,250000000
v52x_D_v53e_0008,D,v53e_0008,pallets_flask,pallets/flask,doc_code_conflict,sha256:9a2d437d5703f2e3880048b1141c1a87226d5cba875613081dc9be3f6534098b,"Evidence at examples/javascript/pyproject.toml:12 supports this bounded audit fact: Documentation = ""https://flask.palletsprojects.com/patterns/javascript/""",sha256:9a2d437d5703f2e3880048b1141c1a87226d5cba875613081dc9be3f6534098b,1,0,v53e_0008_span_001,512,0,sha256:d1de99b8f8af1cb49b477a397fa9cbd39615ccdda4cd1ae5a9a7f6cb4d04cbc3,250000000
v52x_D_v53e_0009,D,v53e_0009,psf_requests,psf/requests,doc_code_conflict,sha256:3fafbe8f29a015222584573c08b5bea234a58a271847e2a3cb27f26345bbc3e1,"Evidence at pyproject.toml:9 supports this bounded audit fact: license = {text = ""Apache-2.0""}",sha256:3fafbe8f29a015222584573c08b5bea234a58a271847e2a3cb27f26345bbc3e1,1,0,v53e_0009_span_001,512,0,sha256:1a9f5a049807a287d5f9d9b1cf993045b5082acc0d9490a9ff3c4139396b8021,250000000
v52x_D_v53e_0010,D,v53e_0010,psf_requests,psf/requests,doc_code_conflict,sha256:52f8642e3af366152395143f1aebdbe3ba0966cf28e7c8f059ce7caf8849e23b,"Evidence at pyproject.toml:108 supports this bounded audit fact: quote-style = ""double""",sha256:52f8642e3af366152395143f1aebdbe3ba0966cf28e7c8f059ce7caf8849e23b,1,0,v53e_0010_span_001,512,0,sha256:3409545a97f10dbe2627a7425af962a08af985193ac49f14344f1611e09f2f05,250000000
