citation_id,answer_id,system_id,query_id,source_span_id,repo_id,owner_repo,path,line_start,line_end,source_file_sha256,evidence_text_sha256,citation_correct
v52x_D_v53e_0001_citation_001,v52x_D_v53e_0001,D,v53e_0001,v53e_0001_span_001,django_django,django/django,README.rst,44,44,sha256:17c3550b268b902983fd4a4decd9a475bb8725c0941e016d29c6b7bf62273eab,sha256:5d366ca3d63295cbbf9fc00a9cc850e5b489e257fa64fa89af7b668e2952385a,1
v52x_D_v53e_0002_citation_001,v52x_D_v53e_0002,D,v53e_0002,v53e_0002_span_001,django_django,django/django,pyproject.toml,15,15,sha256:9442fea5438e1078049605455d3b489ec8dc5a8d4dc333e2849c330706dc8258,sha256:4c397b183ceda98542976d7df7629db58000e9a826da353d119cde5fb71b3289,1
v52x_D_v53e_0003_citation_001,v52x_D_v53e_0003,D,v53e_0003,v53e_0003_span_001,django_django,django/django,pyproject.toml,45,45,sha256:9442fea5438e1078049605455d3b489ec8dc5a8d4dc333e2849c330706dc8258,sha256:a9034ad5544cbdfe2b49d25fa4820665457f8baa5c1a7b71e29c9530885cec55,1
v52x_D_v53e_0004_citation_001,v52x_D_v53e_0004,D,v53e_0004,v53e_0004_span_001,fastapi_fastapi,fastapi/fastapi,pyproject.toml,180,180,sha256:e7aa37e64103ba05507140fcfbe8da41348645fd9cb7c3ee9a674a7e149d8b92,sha256:a1e3c19747c45b2250dab96774213f795a127b6151ec2b041e40cb8599e9dbbb,1
v52x_D_v53e_0005_citation_001,v52x_D_v53e_0005,D,v53e_0005,v53e_0005_span_001,fastapi_fastapi,fastapi/fastapi,pyproject.toml,261,261,sha256:e7aa37e64103ba05507140fcfbe8da41348645fd9cb7c3ee9a674a7e149d8b92,sha256:d289717a8de43265fa341045ad9ade942d2d936cb3fa66284da4ace424abce27,1
v52x_D_v53e_0006_citation_001,v52x_D_v53e_0006,D,v53e_0006,v53e_0006_span_001,pallets_click,pallets/click,README.md,8,8,sha256:4c3de4aa0918deac2f712facacd1dc30a8cc4627d0118dd290292ab0af65ca0b,sha256:4fe11cd096b76494a7643450ef53c6534c654d15503ebd77f28525bc731c66d2,1
v52x_D_v53e_0007_citation_001,v52x_D_v53e_0007,D,v53e_0007,v53e_0007_span_001,pallets_flask,pallets/flask,README.md,16,16,sha256:1f2de14735b1ee9d3a342fa7c5d5e87b95727276c0a56c8a9d77221f37880602,sha256:4f84956f9da8095fcd911d0f24149c725e28103e462d1e78123b6cded3bfd408,1
v52x_D_v53e_0008_citation_001,v52x_D_v53e_0008,D,v53e_0008,v53e_0008_span_001,pallets_flask,pallets/flask,examples/javascript/pyproject.toml,12,12,sha256:2efeb4bc2175dd05aa6452dd11ed761cbeb278bb3ce1de6aca2ed0caf29ce12a,sha256:99d6b624e046735da41c6322f4b3c344d57fc3b92ab9ade04ebb621ec1db0cb6,1
v52x_D_v53e_0009_citation_001,v52x_D_v53e_0009,D,v53e_0009,v53e_0009_span_001,psf_requests,psf/requests,pyproject.toml,9,9,sha256:345f26b9f691435e39d0eb6f7f4150a390f43175b22f8d61ac95e7f2827f0a77,sha256:5cc9a6121bba3dc8672d5e9d7fad5fee4d9ce91e890a5d15a22e525b7806f379,1
v52x_D_v53e_0010_citation_001,v52x_D_v53e_0010,D,v53e_0010,v53e_0010_span_001,psf_requests,psf/requests,pyproject.toml,108,108,sha256:345f26b9f691435e39d0eb6f7f4150a390f43175b22f8d61ac95e7f2827f0a77,sha256:473a4682e268564a4befb1170aec076c982ef4f0fa7b3f0f92b7b6f2efd67b3d,1
v52x_D_v53e_0011_citation_001,v52x_D_v53e_0011,D,v53e_0011,v53e_0011_span_001,pypa_pip,pypa/pip,pyproject.toml,177,177,sha256:5fa492fbec3cace968f9aff374558a922806cf373fb49b18e266b61558df79b3,sha256:f3ac81fe53bcdcef9e922f31db8aa840eeaa43606a66029dba36ff99cc6c89c7,1
v52x_D_v53e_0012_citation_001,v52x_D_v53e_0012,D,v53e_0012,v53e_0012_span_001,pypa_pip,pypa/pip,pyproject.toml,252,252,sha256:5fa492fbec3cace968f9aff374558a922806cf373fb49b18e266b61558df79b3,sha256:3c4dd8a969d09cae324a3a8abc199e032493b4c28b477958d28f9dd8114c12b3,1
v52x_D_v53e_0013_citation_001,v52x_D_v53e_0013,D,v53e_0013,v53e_0013_span_001,pypa_pip,pypa/pip,pyproject.toml,288,288,sha256:5fa492fbec3cace968f9aff374558a922806cf373fb49b18e266b61558df79b3,sha256:2b9307afaa4c23c007d94ab431659e1582fca0186ac779c77f1f37ee30107846,1
v52x_D_v53e_0014_citation_001,v52x_D_v53e_0014,D,v53e_0014,v53e_0014_span_001,pypa_sampleproject,pypa/sampleproject,README.md,24,24,sha256:0ee0ddefd61fb532db9cd7d5aada5b2bf505d4f01c108965c3888ae6efffb297,sha256:db26b0fa843f26b6df82eaf054eb2d93f1ada07371ee0bcd32379b7de746db86,1
v52x_D_v53e_0015_citation_001,v52x_D_v53e_0015,D,v53e_0015,v53e_0015_span_001,pypa_sampleproject,pypa/sampleproject,pyproject.toml,24,24,sha256:e4ce3af8b9396db683e4f967f09562cd2b61017f3c9b31ef7eb810cb24c6d206,sha256:4bc26fc814f426bed5a6dc293c1ac424e85707db5c8e16b845eafc821bf75a16,1
v52x_D_v53e_0016_citation_001,v52x_D_v53e_0016,D,v53e_0016,v53e_0016_span_001,pypa_sampleproject,pypa/sampleproject,pyproject.toml,141,141,sha256:e4ce3af8b9396db683e4f967f09562cd2b61017f3c9b31ef7eb810cb24c6d206,sha256:688c7a4296aee93d7adab777c139ca4a3e9026b5db857cac5a4d1db0568d1a09,1
v52x_D_v53e_0017_citation_001,v52x_D_v53e_0017,D,v53e_0017,v53e_0017_span_001,pytest_dev_pytest,pytest-dev/pytest,pyproject.toml,420,420,sha256:e1e42d06821c51f2e5d1006ca6aefc389875451da0e29e2260e61817127a1dc6,sha256:fdef3c446c0a3ca1f3057a5f7e20169eb8949cca7e62673b22aa87e71a4c8eb7,1
v52x_D_v53e_0018_citation_001,v52x_D_v53e_0018,D,v53e_0018,v53e_0018_span_001,pytest_dev_pytest,pytest-dev/pytest,pyproject.toml,513,513,sha256:e1e42d06821c51f2e5d1006ca6aefc389875451da0e29e2260e61817127a1dc6,sha256:051a7a3233cd71f28b2ccb08f8a527fcf8706ccd18f0a6faec913c98478c00c9,1
v52x_D_v53e_0019_citation_001,v52x_D_v53e_0019,D,v53e_0019,v53e_0019_span_001,pytest_dev_pytest,pytest-dev/pytest,tox.ini,21,21,sha256:cfec44f3d81d294668de27a055a756c744686968ff5d22e184a9c44c4d2a6f62,sha256:1964008429229a51560bfc432f0ffafeeffeb6ab7f998cff357bcc23940ec8a0,1
v52x_D_v53e_0020_citation_001,v52x_D_v53e_0020,D,v53e_0020,v53e_0020_span_001,python_cpython,python/cpython,Doc/README.rst,116,116,sha256:cb7019df5bf42107feea8fd25305e299d6f81a4ee83630aaafd0675905d4d21b,sha256:e3517fe644f024f2262de8fe6e70f1f3187bc51405ff0039d66505ff49a5865e,1
v52x_D_v53e_0021_citation_001,v52x_D_v53e_0021,D,v53e_0021,v53e_0021_span_001,python_cpython,python/cpython,Doc/README.rst,132,132,sha256:cb7019df5bf42107feea8fd25305e299d6f81a4ee83630aaafd0675905d4d21b,sha256:b1293995ee7b46eb4dc086a78043a92ab2cdb9a6b008d244dc9baebc383ab832,1
v52x_D_v53e_0022_citation_001,v52x_D_v53e_0022,D,v53e_0022,v53e_0022_span_001,tiangolo_typer,tiangolo/typer,README.md,68,68,sha256:fbe9ce39df753bea927dadd36d68b579a772bd5701fcfbcbd7f7d97f4f54c95e,sha256:1bf0929c87493ddd338ed491177f437f4dc92898f3f84157e9df2bcfb5ed4c0a,1
v52x_D_v53e_0023_citation_001,v52x_D_v53e_0023,D,v53e_0023,v53e_0023_span_001,tiangolo_typer,tiangolo/typer,README.md,136,136,sha256:fbe9ce39df753bea927dadd36d68b579a772bd5701fcfbcbd7f7d97f4f54c95e,sha256:b392ae8d2ebb5b8bfbc32ed429cbe4e0444dfc9f607cf566cee3993e0c8b5c28,1
v52x_D_v53e_0024_citation_001,v52x_D_v53e_0024,D,v53e_0024,v53e_0024_span_001,tiangolo_typer,tiangolo/typer,pyproject.toml,180,180,sha256:0720203ff3ff5359f7bc79f3e174c41286d64d9eb42b25bf049c9245a551d552,sha256:aa30bf7bfe4c6cfe076e5ae94c2f34ae5efc144c17a1e04d894ba56f08b0c9f2,1
v52x_D_v53e_0025_citation_001,v52x_D_v53e_0025,D,v53e_0025,v53e_0025_span_001,django_django,django/django,README.rst,44,44,sha256:17c3550b268b902983fd4a4decd9a475bb8725c0941e016d29c6b7bf62273eab,sha256:5d366ca3d63295cbbf9fc00a9cc850e5b489e257fa64fa89af7b668e2952385a,1
v52x_D_v53e_0026_citation_001,v52x_D_v53e_0026,D,v53e_0026,v53e_0026_span_001,django_django,django/django,pyproject.toml,15,15,sha256:9442fea5438e1078049605455d3b489ec8dc5a8d4dc333e2849c330706dc8258,sha256:4c397b183ceda98542976d7df7629db58000e9a826da353d119cde5fb71b3289,1
v52x_D_v53e_0027_citation_001,v52x_D_v53e_0027,D,v53e_0027,v53e_0027_span_001,django_django,django/django,pyproject.toml,45,45,sha256:9442fea5438e1078049605455d3b489ec8dc5a8d4dc333e2849c330706dc8258,sha256:a9034ad5544cbdfe2b49d25fa4820665457f8baa5c1a7b71e29c9530885cec55,1
v52x_D_v53e_0028_citation_001,v52x_D_v53e_0028,D,v53e_0028,v53e_0028_span_001,fastapi_fastapi,fastapi/fastapi,pyproject.toml,180,180,sha256:e7aa37e64103ba05507140fcfbe8da41348645fd9cb7c3ee9a674a7e149d8b92,sha256:a1e3c19747c45b2250dab96774213f795a127b6151ec2b041e40cb8599e9dbbb,1
