system_id,query_id,rank,score,source_span_id,owner_repo,path,line_start
D,v53e_0001,1,1,v53e_0001_span_001,django/django,README.rst,44
D,v53e_0002,1,1,v53e_0002_span_001,django/django,pyproject.toml,15
D,v53e_0003,1,1,v53e_0003_span_001,django/django,pyproject.toml,45
D,v53e_0004,1,1,v53e_0004_span_001,fastapi/fastapi,pyproject.toml,180
D,v53e_0005,1,1,v53e_0005_span_001,fastapi/fastapi,pyproject.toml,261
D,v53e_0006,1,1,v53e_0006_span_001,pallets/click,README.md,8
D,v53e_0007,1,1,v53e_0007_span_001,pallets/flask,README.md,16
D,v53e_0008,1,1,v53e_0008_span_001,pallets/flask,examples/javascript/pyproject.toml,12
D,v53e_0009,1,1,v53e_0009_span_001,psf/requests,pyproject.toml,9
D,v53e_0010,1,1,v53e_0010_span_001,psf/requests,pyproject.toml,108
D,v53e_0011,1,1,v53e_0011_span_001,pypa/pip,pyproject.toml,177
D,v53e_0012,1,1,v53e_0012_span_001,pypa/pip,pyproject.toml,252
D,v53e_0013,1,1,v53e_0013_span_001,pypa/pip,pyproject.toml,288
D,v53e_0014,1,1,v53e_0014_span_001,pypa/sampleproject,README.md,24
D,v53e_0015,1,1,v53e_0015_span_001,pypa/sampleproject,pyproject.toml,24
D,v53e_0016,1,1,v53e_0016_span_001,pypa/sampleproject,pyproject.toml,141
D,v53e_0017,1,1,v53e_0017_span_001,pytest-dev/pytest,pyproject.toml,420
D,v53e_0018,1,1,v53e_0018_span_001,pytest-dev/pytest,pyproject.toml,513
D,v53e_0019,1,1,v53e_0019_span_001,pytest-dev/pytest,tox.ini,21
D,v53e_0020,1,1,v53e_0020_span_001,python/cpython,Doc/README.rst,116
D,v53e_0021,1,1,v53e_0021_span_001,python/cpython,Doc/README.rst,132
D,v53e_0022,1,1,v53e_0022_span_001,tiangolo/typer,README.md,68
D,v53e_0023,1,1,v53e_0023_span_001,tiangolo/typer,README.md,136
D,v53e_0024,1,1,v53e_0024_span_001,tiangolo/typer,pyproject.toml,180
D,v53e_0025,1,1,v53e_0025_span_001,django/django,README.rst,44
D,v53e_0026,1,1,v53e_0026_span_001,django/django,pyproject.toml,15
D,v53e_0027,1,1,v53e_0027_span_001,django/django,pyproject.toml,45
D,v53e_0028,1,1,v53e_0028_span_001,fastapi/fastapi,pyproject.toml,180
D,v53e_0029,1,1,v53e_0029_span_001,fastapi/fastapi,pyproject.toml,261
D,v53e_0030,1,1,v53e_0030_span_001,pallets/click,README.md,8
D,v53e_0031,1,1,v53e_0031_span_001,pallets/flask,README.md,16
D,v53e_0032,1,1,v53e_0032_span_001,pallets/flask,examples/javascript/pyproject.toml,12
D,v53e_0033,1,1,v53e_0033_span_001,psf/requests,pyproject.toml,9
D,v53e_0034,1,1,v53e_0034_span_001,psf/requests,pyproject.toml,108
D,v53e_0035,1,1,v53e_0035_span_001,pypa/pip,pyproject.toml,177
D,v53e_0036,1,1,v53e_0036_span_001,pypa/pip,pyproject.toml,252
D,v53e_0037,1,1,v53e_0037_span_001,pypa/pip,pyproject.toml,288
D,v53e_0038,1,1,v53e_0038_span_001,pypa/sampleproject,README.md,24
D,v53e_0039,1,1,v53e_0039_span_001,pypa/sampleproject,pyproject.toml,24
D,v53e_0040,1,1,v53e_0040_span_001,pypa/sampleproject,pyproject.toml,141
D,v53e_0041,1,1,v53e_0041_span_001,pytest-dev/pytest,pyproject.toml,420
D,v53e_0042,1,1,v53e_0042_span_001,pytest-dev/pytest,pyproject.toml,513
D,v53e_0043,1,1,v53e_0043_span_001,pytest-dev/pytest,tox.ini,21
D,v53e_0044,1,1,v53e_0044_span_001,python/cpython,Doc/README.rst,116
D,v53e_0045,1,1,v53e_0045_span_001,python/cpython,Doc/README.rst,132
D,v53e_0046,1,1,v53e_0046_span_001,tiangolo/typer,README.md,68
D,v53e_0047,1,1,v53e_0047_span_001,tiangolo/typer,README.md,136
D,v53e_0048,1,1,v53e_0048_span_001,tiangolo/typer,pyproject.toml,180
D,v53e_0049,1,1,v53e_0049_span_001,django/django,README.rst,44
D,v53e_0050,1,1,v53e_0050_span_001,django/django,pyproject.toml,15
D,v53e_0051,1,1,v53e_0051_span_001,django/django,pyproject.toml,45
D,v53e_0052,1,1,v53e_0052_span_001,fastapi/fastapi,pyproject.toml,180
D,v53e_0053,1,1,v53e_0053_span_001,fastapi/fastapi,pyproject.toml,261
D,v53e_0054,1,1,v53e_0054_span_001,pallets/click,README.md,8
D,v53e_0055,1,1,v53e_0055_span_001,pallets/flask,README.md,16
D,v53e_0056,1,1,v53e_0056_span_001,pallets/flask,examples/javascript/pyproject.toml,12
D,v53e_0057,1,1,v53e_0057_span_001,psf/requests,pyproject.toml,9
D,v53e_0058,1,1,v53e_0058_span_001,psf/requests,pyproject.toml,108
D,v53e_0059,1,1,v53e_0059_span_001,pypa/pip,pyproject.toml,177
D,v53e_0060,1,1,v53e_0060_span_001,pypa/pip,pyproject.toml,252
D,v53e_0061,1,1,v53e_0061_span_001,pypa/pip,pyproject.toml,288
D,v53e_0062,1,1,v53e_0062_span_001,pypa/sampleproject,README.md,24
D,v53e_0063,1,1,v53e_0063_span_001,pypa/sampleproject,pyproject.toml,24
