repo_id,owner_repo,path,source_file_sha256,local_relpath
django_django,django/django,README.rst,sha256:17c3550b268b902983fd4a4decd9a475bb8725c0941e016d29c6b7bf62273eab,source_canary/django__django/README.rst
django_django,django/django,pyproject.toml,sha256:9442fea5438e1078049605455d3b489ec8dc5a8d4dc333e2849c330706dc8258,source_canary/django__django/pyproject.toml
fastapi_fastapi,fastapi/fastapi,pyproject.toml,sha256:e7aa37e64103ba05507140fcfbe8da41348645fd9cb7c3ee9a674a7e149d8b92,source_canary/fastapi__fastapi/pyproject.toml
pallets_click,pallets/click,README.md,sha256:4c3de4aa0918deac2f712facacd1dc30a8cc4627d0118dd290292ab0af65ca0b,source_canary/pallets__click/README.md
pallets_flask,pallets/flask,README.md,sha256:1f2de14735b1ee9d3a342fa7c5d5e87b95727276c0a56c8a9d77221f37880602,source_canary/pallets__flask/README.md
pallets_flask,pallets/flask,examples/javascript/pyproject.toml,sha256:2efeb4bc2175dd05aa6452dd11ed761cbeb278bb3ce1de6aca2ed0caf29ce12a,source_canary/pallets__flask/examples/javascript/pyproject.toml
psf_requests,psf/requests,pyproject.toml,sha256:345f26b9f691435e39d0eb6f7f4150a390f43175b22f8d61ac95e7f2827f0a77,source_canary/psf__requests/pyproject.toml
pypa_pip,pypa/pip,pyproject.toml,sha256:5fa492fbec3cace968f9aff374558a922806cf373fb49b18e266b61558df79b3,source_canary/pypa__pip/pyproject.toml
pypa_sampleproject,pypa/sampleproject,README.md,sha256:0ee0ddefd61fb532db9cd7d5aada5b2bf505d4f01c108965c3888ae6efffb297,source_canary/pypa__sampleproject/README.md
pypa_sampleproject,pypa/sampleproject,pyproject.toml,sha256:e4ce3af8b9396db683e4f967f09562cd2b61017f3c9b31ef7eb810cb24c6d206,source_canary/pypa__sampleproject/pyproject.toml
pytest_dev_pytest,pytest-dev/pytest,pyproject.toml,sha256:e1e42d06821c51f2e5d1006ca6aefc389875451da0e29e2260e61817127a1dc6,source_canary/pytest_dev__pytest/pyproject.toml
pytest_dev_pytest,pytest-dev/pytest,tox.ini,sha256:cfec44f3d81d294668de27a055a756c744686968ff5d22e184a9c44c4d2a6f62,source_canary/pytest_dev__pytest/tox.ini
python_cpython,python/cpython,Doc/README.rst,sha256:cb7019df5bf42107feea8fd25305e299d6f81a4ee83630aaafd0675905d4d21b,source_canary/python__cpython/Doc/README.rst
tiangolo_typer,tiangolo/typer,README.md,sha256:fbe9ce39df753bea927dadd36d68b579a772bd5701fcfbcbd7f7d97f4f54c95e,source_canary/tiangolo__typer/README.md
tiangolo_typer,tiangolo/typer,pyproject.toml,sha256:0720203ff3ff5359f7bc79f3e174c41286d64d9eb42b25bf049c9245a551d552,source_canary/tiangolo__typer/pyproject.toml
django_django,django/django,tox.ini,sha256:47d70986367bd27c611f42ae78c7326728a6838545ca9d6734d052e8d727815c,source_canary/django__django/tox.ini
pallets_click,pallets/click,examples/aliases/pyproject.toml,sha256:413ab0bd185393b340373afd839d19c1c0bf85123ed241946d311fb5eeb60331,source_canary/pallets__click/examples/aliases/pyproject.toml
pallets_click,pallets/click,examples/colors/pyproject.toml,sha256:7d5aa5c4ba2c8223beead363223a54688a01093b4771ac50fd329e5bf1fa66c3,source_canary/pallets__click/examples/colors/pyproject.toml
pallets_flask,pallets/flask,examples/celery/pyproject.toml,sha256:00d27458e466294e03bd3be48bfb8c436be5f9bd49cee885e2fb2d88f2b684b5,source_canary/pallets__flask/examples/celery/pyproject.toml
fastapi_fastapi,fastapi/fastapi,README.md,sha256:92d9831df4291afd3f34a16eee57ca67b946528c7114fbeb86082ec70e8df21e,source_canary/fastapi__fastapi/README.md
psf_requests,psf/requests,README.md,sha256:2a9268c9be5f4dc9abe9105740be7c5234babc3dd2b25eb11ca376c538a0c67b,source_canary/psf__requests/README.md
pypa_pip,pypa/pip,README.rst,sha256:807e8aad661c9fe6540a2f0790279c230c81c72bdf72b9466f6e9ed9304ed8b1,source_canary/pypa__pip/README.rst
pytest_dev_pytest,pytest-dev/pytest,README.rst,sha256:37c713f12b48774c77c40accfe3a6a28c25d7e763c9c5e34266261cf738713b5,source_canary/pytest_dev__pytest/README.rst
